epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4551.03,1.05717,0.67204,1.11878,0.89462,0.8459,0.90361,0.60193,1.11893,0.60366,1.16849,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4692.31,1.05688,0.66897,1.1178,0.89713,0.84503,0.90336,0.60303,1.11709,0.60142,1.16814,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4833.51,1.05313,0.66685,1.11998,0.89155,0.84659,0.90447,0.60338,1.11625,0.60045,1.16813,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4974.75,1.05144,0.66406,1.11558,0.88967,0.84666,0.90375,0.60438,1.11558,0.59781,1.16804,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5115.68,1.04351,0.65667,1.11183,0.88855,0.85192,0.90472,0.60501,1.11487,0.59503,1.16751,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5256.83,1.04667,0.65627,1.11145,0.88903,0.84906,0.90449,0.60575,1.11414,0.59488,1.16723,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5397.61,1.04207,0.65732,1.11225,0.88708,0.85098,0.90504,0.60593,1.11284,0.59351,1.16617,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5539.41,1.03882,0.64976,1.10988,0.88505,0.85365,0.90533,0.60698,1.11103,0.59201,1.1649,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5680.15,1.03436,0.64806,1.10655,0.88752,0.85166,0.9055,0.60731,1.11014,0.59072,1.16392,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5821.15,1.03333,0.64345,1.10363,0.8903,0.84979,0.90649,0.60719,1.1098,0.58935,1.16385,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5962.72,1.03163,0.64334,1.10498,0.88949,0.85159,0.90633,0.60745,1.10918,0.58923,1.16344,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6104.59,1.02816,0.63919,1.10239,0.89279,0.84984,0.90624,0.6076,1.10828,0.58893,1.16262,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6246.06,1.03019,0.64245,1.10392,0.89894,0.84654,0.90668,0.60766,1.10794,0.58867,1.16239,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6387.28,1.02494,0.63799,1.10014,0.89819,0.84598,0.90681,0.60762,1.10762,0.58796,1.16231,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
